tick,count,CDIFF,occupancy,anyCP
1,6,1,20,4
2,9,2,20,4
3,8,3,20,0
4,10,2,20,4
5,5,0,20,4
6,9,2,19,3
7,7,0,19,3
8,5,0,17,0
9,1,0,16,0
10,6,0,19,4
11,6,0,19,3
12,6,0,20,3
13,4,0,20,4
14,5,0,20,3
15,4,0,20,3
16,1,0,20,2
17,7,0,18,2
18,3,0,19,2
19,6,0,20,0
20,6,0,18,3
21,3,0,13,3
22,1,0,17,2
23,4,1,18,3
24,7,3,20,1
25,5,1,20,3
26,6,1,20,2
27,10,1,20,3
28,5,1,18,4
29,7,1,20,3
30,8,1,19,0
31,4,0,20,2
32,5,0,16,2
33,8,0,17,4
34,4,0,17,1
35,4,0,20,1
36,9,0,19,0
37,9,0,20,1
38,5,0,16,0
39,3,0,15,1
40,3,0,18,0
41,3,0,16,1
42,7,0,19,1
43,4,0,17,0
44,3,0,17,4
45,4,0,15,0
46,7,0,17,6
47,9,0,18,0
48,6,0,20,1
49,4,0,20,1
50,6,0,20,1
51,7,0,20,1
52,7,0,19,0
53,9,0,20,1
54,8,0,20,0
55,7,0,20,0
56,3,0,18,1
